k,inertia,silhouette,feature_set,n_features
2,5350.434697461467,0.5585602405213103,top_01,1
3,2785.2570026583035,0.6123993942321683,top_01,1
4,1978.0300233133619,0.5436111623367558,top_01,1
5,1346.969283476948,0.5726087117282193,top_01,1
6,1039.5226540183648,0.5454828686031787,top_01,1
7,792.4456232808536,0.5510038718467608,top_01,1
8,644.823861707114,0.5438732297852268,top_01,1
9,516.731898897863,0.5437606504344347,top_01,1
10,415.2373289341398,0.5255361774003316,top_01,1
2,11049.769442080522,0.32810300227370764,top_03,3
3,8484.500183295297,0.33410659645861873,top_03,3
4,7022.210754757502,0.26264793623699473,top_03,3
5,5964.8226657932155,0.2575255781738118,top_03,3
6,5275.525855576785,0.26363498057413415,top_03,3
7,4771.298521078334,0.26469753396745793,top_03,3
8,4444.200726250824,0.2281051556406774,top_03,3
9,4167.8631834778525,0.23114797058688738,top_03,3
10,3925.2679986502885,0.22656570584658028,top_03,3
2,13920.774159216686,0.27738832774216854,top_04,4
3,11355.164082652307,0.27465409717255285,top_04,4
4,9890.788244627187,0.20391803426194516,top_04,4
5,8698.478554998615,0.20493970432039513,top_04,4
6,7825.405829828224,0.2016680319045047,top_04,4
7,7172.473247792243,0.20532098256335285,top_04,4
8,6699.700411876853,0.20417040479589324,top_04,4
9,6407.597583357706,0.18281600843168572,top_04,4
10,6147.618249790121,0.1756495649739753,top_04,4
2,16599.53951733931,0.24292769121390703,top_05,5
3,14033.682023983794,0.23703727974602634,top_05,5
4,12570.374526811675,0.16781239240869522,top_05,5
5,11374.406020880537,0.1646541686222475,top_05,5
6,10499.727295753706,0.15824982611853392,top_05,5
7,9838.208728706311,0.15739288445131716,top_05,5
8,9214.569261767845,0.1598355889460092,top_05,5
9,8762.98650840372,0.1585076192359254,top_05,5
10,8450.54511058355,0.1450463612457418,top_05,5
2,23731.954381454776,0.1852769672810963,top_08,8
3,21164.53406109399,0.17207442260589317,top_08,8
4,19698.048186490567,0.11252713397676932,top_08,8
5,18499.06323780564,0.10722506457418875,top_08,8
6,17577.765108965526,0.103547600126709,top_08,8
7,16897.487438431355,0.09965291642194839,top_08,8
8,16278.239420863607,0.09956172763238463,top_08,8
9,15714.296279069276,0.09800906736712879,top_08,8
10,15284.63912201226,0.09627105706269101,top_08,8
2,28203.62662682151,0.1616179778068709,top_10,10
3,25637.244957109724,0.14732438408833282,top_10,10
4,24165.339313294466,0.0935809323381678,top_10,10
5,22967.365016291427,0.08964287894904369,top_10,10
6,22048.245203132316,0.0840806909961255,top_10,10
7,21318.26947119875,0.0818571973370121,top_10,10
8,20729.017975288363,0.08055339758665414,top_10,10
9,20160.716240413778,0.07897810321848574,top_10,10
10,19663.67338143203,0.08017560889222139,top_10,10
2,38617.61405894341,0.1260506843614832,top_15,15
3,36049.404907848046,0.10896680749459588,top_15,15
4,34576.26233073036,0.0676350126335826,top_15,15
5,33377.79287921772,0.06409783422892815,top_15,15
6,32379.38908065759,0.06215879829539144,top_15,15
7,31648.162311781263,0.05958520791687551,top_15,15
8,31034.338708843825,0.057676397603744635,top_15,15
9,30461.273246026307,0.05672515927836737,top_15,15
10,29950.47452877656,0.05594908202905847,top_15,15
2,50771.66870311188,0.09986300068363982,top_20,20
3,48200.86248145107,0.08606179272260932,top_20,20
4,46643.42484531996,0.05385168079784671,top_20,20
5,45390.494477394284,0.05066431790448296,top_20,20
6,44319.89685988946,0.04915847250562048,top_20,20
7,43413.2603300459,0.04884517324879736,top_20,20
8,42682.36839497392,0.04641492151447979,top_20,20
9,42078.79573434148,0.04523919884822382,top_20,20
10,41540.77857366438,0.044599601014990976,top_20,20
2,64849.60056167173,0.08340455394823093,top_26,26
3,62273.587515978565,0.07030129623454122,top_26,26
4,60667.76990651584,0.04028966851111779,top_26,26
5,59434.145574527385,0.0385025098400387,top_26,26
6,58330.50941503792,0.038331570299108185,top_26,26
7,57346.72691359661,0.03823923381635966,top_26,26
8,56497.53735175862,0.03855595866527814,top_26,26
9,55687.20066717913,0.038972942386634624,top_26,26
10,54965.98409927433,0.03900931794715246,top_26,26
