cluster,n,n_positive,n_negative,positive_rate,lift_vs_global,global_positive_rate,feature_set,n_clusters
0,232,79,153,0.34051724137931033,0.6843192149905755,0.4976,top_01,4
1,3087,1562,1525,0.5059928733398121,1.016866706872613,0.4976,top_01,4
2,1118,522,596,0.4669051878354204,0.9383142842351696,0.4976,top_01,4
3,563,325,238,0.5772646536412078,1.1600977766101443,0.4976,top_01,4
0,2470,1216,1254,0.49230769230769234,0.9893643334157805,0.4976,top_03,4
1,572,219,353,0.38286713286713286,0.7694275178198008,0.4976,top_03,4
2,1330,686,644,0.5157894736842106,1.036554408529362,0.4976,top_03,4
3,628,367,261,0.5843949044585988,1.1744270587994348,0.4976,top_03,4
0,565,215,350,0.3805309734513274,0.764732663688359,0.4976,top_04,4
1,635,372,263,0.5858267716535434,1.1773046054130696,0.4976,top_04,4
2,1316,672,644,0.5106382978723404,1.0262023671067935,0.4976,top_04,4
3,2484,1229,1255,0.49476650563607083,0.9943056785290812,0.4976,top_04,4
0,2497,1231,1266,0.4929915899078895,0.9907387256991349,0.4976,top_05,4
1,1294,666,628,0.5146831530139103,1.0343310952851896,0.4976,top_05,4
2,628,369,259,0.5875796178343949,1.1808272062588323,0.4976,top_05,4
3,581,222,359,0.38209982788296043,0.7678855061956601,0.4976,top_05,4
0,631,367,264,0.5816164817749604,1.1688434119271713,0.4976,top_08,4
1,1330,694,636,0.5218045112781955,1.0486425065880134,0.4976,top_08,4
2,576,219,357,0.3802083333333333,0.7640842711682744,0.4976,top_08,4
3,2463,1208,1255,0.49045879009338206,0.9856486939175685,0.4976,top_08,4
0,569,215,354,0.37785588752196836,0.7593566871422194,0.4976,top_10,4
1,641,369,272,0.5756630265210608,1.1568790725905564,0.4976,top_10,4
2,2432,1187,1245,0.48807565789473684,0.9808594411067862,0.4976,top_10,4
3,1358,717,641,0.5279823269513991,1.0610577310116542,0.4976,top_10,4
0,588,223,365,0.3792517006802721,0.7621617778944375,0.4976,top_15,4
1,2398,1160,1238,0.4837364470391993,0.9721391620562687,0.4976,top_15,4
2,1389,744,645,0.5356371490280778,1.0764412158924392,0.4976,top_15,4
3,625,361,264,0.5776,1.1607717041800643,0.4976,top_15,4
0,627,367,260,0.5853269537480064,1.1763001482074082,0.4976,top_20,4
1,1305,639,666,0.4896551724137931,0.9840337066193591,0.4976,top_20,4
2,2494,1260,1234,0.5052125100240578,1.015298452620695,0.4976,top_20,4
3,574,222,352,0.3867595818815331,0.77724996358829,0.4976,top_20,4
0,559,214,345,0.3828264758497317,0.7693458115951199,0.4976,top_26,4
1,1772,952,820,0.5372460496613995,1.0796745371008833,0.4976,top_26,4
2,629,358,271,0.5691573926868044,1.1438050496117453,0.4976,top_26,4
3,2040,964,1076,0.4725490196078431,0.9496563898871445,0.4976,top_26,4
