model_name,feature_set_name,feature_count,cv_score_mean,cv_score_std,f1_score,roc_auc_score,business_score_no_var_penalty
logistic_regression,top_01,1,2306.0,20.346989949375804,0.6683026776381772,0.5551373495424171,2506.0
lightgbm,top_01,1,2301.0,24.779023386727733,0.6678684906540968,0.547225537670357,2501.0
logistic_regression,top_03,3,1905.0,22.135943621178654,0.6682126082299509,0.5773514069390064,2505.0
lightgbm,top_03,3,1891.0,32.155870381627054,0.6669702194841365,0.5509847265988159,2491.0
logistic_regression,top_05,5,1504.0,38.39270764090493,0.6681315187119814,0.5921821853565417,2504.0
lightgbm,top_05,5,1490.0,23.874672772626646,0.6669076403590491,0.5897405295214446,2490.0
logistic_regression,top_08,8,903.0,30.099833886584822,0.6680408733820933,0.5947318482959458,2503.0
lightgbm,top_08,8,898.0,30.757112998459398,0.6675788089938852,0.5834628037649212,2498.0
logistic_regression,top_10,10,508.0,39.57271787481876,0.6685839682534899,0.6064080814373437,2508.0
lightgbm,top_10,10,486.0,17.146428199482248,0.6665384340079348,0.6166658823634833,2486.0
lightgbm,top_15,15,-484.0,21.307275752662516,0.6693260627574369,0.6190339485735622,2516.0
logistic_regression,top_15,15,-493.0,28.74021572639983,0.6683764455886863,0.607845727944534,2507.0
lightgbm,top_20,20,-1472.0,48.744230427815765,0.670652135605497,0.6246204192044172,2528.0
logistic_regression,top_20,20,-1498.0,34.72751070837067,0.6679637612149584,0.6079121108140051,2502.0
