outer_fold,inner_fold,inner_train_count,inner_val_count,inner_train_positive_count,inner_val_positive_count,inner_train_positive_rate,inner_val_positive_rate
1,1,3200,800,1593,398,0.4978125,0.4975
1,2,3200,800,1593,398,0.4978125,0.4975
1,3,3200,800,1593,398,0.4978125,0.4975
1,4,3200,800,1593,398,0.4978125,0.4975
1,5,3200,800,1592,399,0.4975,0.49875
2,1,3200,800,1593,398,0.4978125,0.4975
2,2,3200,800,1593,398,0.4978125,0.4975
2,3,3200,800,1593,398,0.4978125,0.4975
2,4,3200,800,1593,398,0.4978125,0.4975
2,5,3200,800,1592,399,0.4975,0.49875
3,1,3200,800,1592,398,0.4975,0.4975
3,2,3200,800,1592,398,0.4975,0.4975
3,3,3200,800,1592,398,0.4975,0.4975
3,4,3200,800,1592,398,0.4975,0.4975
3,5,3200,800,1592,398,0.4975,0.4975
4,1,3200,800,1592,398,0.4975,0.4975
4,2,3200,800,1592,398,0.4975,0.4975
4,3,3200,800,1592,398,0.4975,0.4975
4,4,3200,800,1592,398,0.4975,0.4975
4,5,3200,800,1592,398,0.4975,0.4975
5,1,3200,800,1592,398,0.4975,0.4975
5,2,3200,800,1592,398,0.4975,0.4975
5,3,3200,800,1592,398,0.4975,0.4975
5,4,3200,800,1592,398,0.4975,0.4975
5,5,3200,800,1592,398,0.4975,0.4975
