sample_index,outer_fold
0,5
1,3
2,1
3,2
4,4
5,5
6,3
7,2
8,1
9,2
10,3
11,5
12,3
13,2
14,3
15,2
16,1
17,3
18,1
19,2
20,2
21,2
22,4
23,1
24,4
25,3
26,1
27,1
28,2
29,1
30,2
31,1
32,4
33,2
34,5
35,5
36,2
37,5
38,4
39,1
40,3
41,3
42,1
43,2
44,3
45,4
46,1
47,1
48,3
49,2
50,3
51,5
52,3
53,5
54,1
55,4
56,5
57,1
58,1
59,5
60,2
61,5
62,4
63,2
64,4
65,2
66,5
67,5
68,2
69,5
70,3
71,1
72,5
73,3
74,4
75,3
76,5
77,5
78,1
79,4
80,1
81,5
82,2
83,1
84,3
85,4
86,1
87,2
88,2
89,5
90,2
91,1
92,1
93,5
94,2
95,4
96,2
97,5
98,2
99,3
100,4
101,2
102,5
103,1
104,5
105,3
106,3
107,1
108,3
109,1
110,3
111,2
112,5
113,5
114,3
115,1
116,2
117,5
118,2
119,4
120,3
121,5
122,4
123,2
124,3
125,2
126,4
127,5
128,5
129,1
130,3
131,1
132,3
133,4
134,3
135,2
136,5
137,4
138,5
139,5
140,3
141,1
142,3
143,5
144,4
145,3
146,3
147,1
148,1
149,5
150,5
151,3
152,2
153,2
154,4
155,1
156,3
157,4
158,2
159,4
160,2
161,5
162,2
163,1
164,4
165,5
166,2
167,1
168,3
169,3
170,5
171,3
172,4
173,2
174,1
175,1
176,3
177,4
178,4
179,1
180,5
181,1
182,2
183,2
184,5
185,4
186,2
187,3
188,3
189,2
190,1
191,4
192,1
193,1
194,2
195,2
196,4
197,5
198,5
199,3
200,5
201,5
202,5
203,2
204,5
205,3
206,1
207,3
208,4
209,1
210,2
211,3
212,1
213,4
214,4
215,1
216,2
217,1
218,4
219,5
220,5
221,1
222,3
223,4
224,1
225,5
226,5
227,2
228,4
229,5
230,2
231,1
232,3
233,2
234,3
235,5
236,4
237,3
238,2
239,3
240,3
241,4
242,3
243,2
244,2
245,3
246,3
247,2
248,1
249,4
250,1
251,3
252,4
253,2
254,4
255,1
256,2
257,3
258,3
259,2
260,4
261,4
262,1
263,3
264,1
265,2
266,1
267,2
268,2
269,2
270,1
271,2
272,3
273,3
274,3
275,1
276,1
277,4
278,4
279,5
280,3
281,3
282,1
283,2
284,2
285,5
286,3
287,4
288,1
289,2
290,1
291,5
292,2
293,4
294,3
295,4
296,5
297,2
298,3
299,5
300,5
301,5
302,2
303,5
304,2
305,1
306,1
307,3
308,2
309,4
310,3
311,5
312,5
313,5
314,1
315,1
316,1
317,3
318,4
319,4
320,2
321,3
322,1
323,3
324,1
325,4
326,5
327,5
328,2
329,4
330,3
331,4
332,1
333,4
334,5
335,5
336,3
337,5
338,4
339,1
340,3
341,3
342,3
343,2
344,3
345,3
346,2
347,5
348,5
349,4
350,3
351,2
352,4
353,2
354,5
355,4
356,4
357,5
358,1
359,5
360,2
361,2
362,1
363,3
364,3
365,2
366,5
367,3
368,1
369,3
370,3
371,1
372,4
