base_model_family,feature_size,n_pipeline_recipes
ebm_additive,1,771
ebm_additive,2,771
ebm_additive,3,771
ebm_additive,4,771
ebm_additive,5,771
ebm_additive,6,771
ebm_additive,7,771
ebm_additive,8,771
ebm_additive,9,771
ebm_additive,10,771
ebm_additive,12,771
ebm_additive,15,771
ebm_additive,20,771
ebm_additive,30,771
ebm_additive,40,771
ebm_additive,50,771
extra_trees_small,1,2056
extra_trees_small,2,2056
extra_trees_small,3,2056
extra_trees_small,4,2056
extra_trees_small,5,2056
extra_trees_small,6,2056
extra_trees_small,7,2056
extra_trees_small,8,2056
extra_trees_small,9,2056
extra_trees_small,10,2056
extra_trees_small,12,2056
extra_trees_small,15,2056
extra_trees_small,20,2056
extra_trees_small,30,2056
extra_trees_small,40,2056
extra_trees_small,50,2056
lambdamart_ranker,1,771
lambdamart_ranker,2,771
lambdamart_ranker,3,771
lambdamart_ranker,4,771
lambdamart_ranker,5,771
lambdamart_ranker,6,771
lambdamart_ranker,7,771
lambdamart_ranker,8,771
lambdamart_ranker,9,771
lambdamart_ranker,10,771
lambdamart_ranker,12,771
lambdamart_ranker,15,771
lambdamart_ranker,20,771
lambdamart_ranker,30,771
lambdamart_ranker,40,771
lambdamart_ranker,50,771
lightgbm_classifier,1,2056
lightgbm_classifier,2,2056
lightgbm_classifier,3,2056
lightgbm_classifier,4,2056
lightgbm_classifier,5,2056
lightgbm_classifier,6,2056
lightgbm_classifier,7,2056
lightgbm_classifier,8,2056
lightgbm_classifier,9,2056
lightgbm_classifier,10,2056
lightgbm_classifier,12,2056
lightgbm_classifier,15,2056
lightgbm_classifier,20,2056
lightgbm_classifier,30,2056
lightgbm_classifier,40,2056
lightgbm_classifier,50,2056
logistic_baseline,1,1542
logistic_baseline,2,1542
logistic_baseline,3,1542
logistic_baseline,4,1542
logistic_baseline,5,1542
logistic_baseline,6,1542
logistic_baseline,7,1542
logistic_baseline,8,1542
logistic_baseline,9,1542
logistic_baseline,10,1542
logistic_baseline,12,1542
logistic_baseline,15,1542
logistic_baseline,20,1542
logistic_baseline,30,1542
logistic_baseline,40,1542
logistic_baseline,50,1542
random_forest_small,1,1542
random_forest_small,2,1542
random_forest_small,3,1542
random_forest_small,4,1542
random_forest_small,5,1542
random_forest_small,6,1542
random_forest_small,7,1542
random_forest_small,8,1542
random_forest_small,9,1542
random_forest_small,10,1542
random_forest_small,12,1542
random_forest_small,15,1542
random_forest_small,20,1542
random_forest_small,30,1542
random_forest_small,40,1542
random_forest_small,50,1542
xgboost_classifier,1,2056
xgboost_classifier,2,2056
xgboost_classifier,3,2056
xgboost_classifier,4,2056
xgboost_classifier,5,2056
xgboost_classifier,6,2056
xgboost_classifier,7,2056
xgboost_classifier,8,2056
xgboost_classifier,9,2056
xgboost_classifier,10,2056
xgboost_classifier,12,2056
xgboost_classifier,15,2056
xgboost_classifier,20,2056
xgboost_classifier,30,2056
xgboost_classifier,40,2056
xgboost_classifier,50,2056
