prescreen_recipe_id,prescreen_name,prescreen_methods,prescreen_method_count,rank_aggregation,adaptive,adaptive_method_count,leakage_rule
ps_mean_0001,single__mutual_info,"[""mutual_info""]",1,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0002,single__abs_corr,"[""abs_corr""]",1,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0003,single__logistic_l1,"[""logistic_l1""]",1,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0004,single__abess_logistic,"[""abess_logistic""]",1,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",1,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0006,single__ebm,"[""ebm""]",1,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",1,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0008,single__lambdamart,"[""lambdamart""]",1,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0009,pair__mutual_info+abs_corr,"[""mutual_info"", ""abs_corr""]",2,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0010,pair__mutual_info+logistic_l1,"[""mutual_info"", ""logistic_l1""]",2,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0011,pair__mutual_info+abess_logistic,"[""mutual_info"", ""abess_logistic""]",2,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0012,pair__mutual_info+lightgbm_gain,"[""mutual_info"", ""lightgbm_gain""]",2,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0013,pair__mutual_info+ebm,"[""mutual_info"", ""ebm""]",2,mean_rank_score,False,,fit ranking only on the active training partition
ps_mean_0014,pair__mutual_info+sparse_gam_spam,"[""mutual_info"", ""sparse_gam_spam""]",2,mean_rank_score,False,,fit ranking only on the active training partition
