outer_fold,round_name,pipeline_recipe_id,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,inner_oof_n_predictions,inner_oof_selected_rate,selected_features_text,feature_size,prescreen_name,base_model_family,model_spec_id,inner_fold_count,expected_inner_oof_predictions,missing_inner_oof_predictions,expected_inner_fold_count,missing_inner_fold_count,manifest_checked,feature_recipe_id,prescreen_recipe_id,prescreen_methods,rank_aggregation,model_kind,model_params,feature_penalty,gross_score,inner_oof_tp_at_optimal_k,inner_oof_fp_at_optimal_k,baseline_select_all_capped_features_0_business_score,baseline_select_all_capped_features_1_business_score,baseline_select_all_illegal_full_features_0_business_score,baseline_select_all_illegal_full_features_1_business_score,beats_baseline_select_all_capped_features_0,beats_baseline_select_all_capped_features_1,beats_baseline_select_all_illegal_full_features_0,beats_baseline_select_all_illegal_full_features_1,inner_selection_rank
1,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep02,5190.0,1000.0,0.5255767301905717,0.7328538402902658,4000,0.25,"var_175,var_190,var_214,var_254,var_341,var_379,var_389,var_482",8,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1600.0,6790.0,786.0,214.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,1
1,round2_model_hpo_selection,ps_mean_0007__k_008__extra_trees_small_deep04,5160.0,1000.0,0.5242393848211301,0.7359596531829768,4000,0.25,"var_175,var_190,var_214,var_254,var_341,var_379,var_389,var_482",8,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep04,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",1600.0,6760.0,784.0,216.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,2
1,round2_model_hpo_selection,ps_mean_0007__k_007__extra_trees_small_deep04,5120.0,1000.0,0.5135406218655968,0.7147829743552307,4000,0.25,"var_175,var_190,var_214,var_254,var_341,var_379,var_482",7,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep04,5,4000,0,5,0,True,ps_mean_0007__k_007,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",1400.0,6520.0,768.0,232.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,3
1,round2_model_hpo_selection,ps_mean_0005__k_007__ebm_additive_deep02,5115.0,998.0,0.5132151221144196,0.7251301838862236,4000,0.2495,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",7,single__lightgbm_gain,ebm_additive,ebm_additive_deep02,5,4000,0,5,0,True,ps_mean_0005__k_007,ps_mean_0005,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""interactions"": 0, ""max_bins"": 128, ""max_rounds"": 4000, ""outer_bags"": 6}",1400.0,6515.0,767.0,231.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,4
1,round2_model_hpo_selection,ps_mean_0007__k_007__extra_trees_small_deep08,5110.0,999.0,0.5130434782608695,0.714498468593989,4000,0.24975,"var_175,var_190,var_214,var_254,var_341,var_379,var_482",7,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep08,5,4000,0,5,0,True,ps_mean_0007__k_007,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",1400.0,6510.0,767.0,232.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,5
1,round2_model_hpo_selection,ps_mean_0007__k_008__ebm_additive_deep02,5105.0,999.0,0.5217391304347826,0.7350968857119357,4000,0.24975,"var_175,var_190,var_214,var_254,var_341,var_379,var_389,var_482",8,single__sparse_gam_spam,ebm_additive,ebm_additive_deep02,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""interactions"": 0, ""max_bins"": 128, ""max_rounds"": 4000, ""outer_bags"": 6}",1600.0,6705.0,780.0,219.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,6
1,round2_model_hpo_selection,ps_mean_0005__k_007__extra_trees_small_deep01,5105.0,1000.0,0.512871949180876,0.7174052774568684,4000,0.25,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",7,single__lightgbm_gain,extra_trees_small,extra_trees_small_deep01,5,4000,0,5,0,True,ps_mean_0005__k_007,ps_mean_0005,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",1400.0,6505.0,767.0,233.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,7
1,round2_model_hpo_selection,ps_mean_0005__k_008__ebm_additive_deep03,5100.0,991.0,0.5211267605633804,0.7395612261148288,4000,0.24775,"var_116,var_159,var_175,var_190,var_214,var_254,var_341,var_379",8,single__lightgbm_gain,ebm_additive,ebm_additive_deep03,5,4000,0,5,0,True,ps_mean_0005__k_008,ps_mean_0005,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""interactions"": 2, ""max_bins"": 64, ""max_rounds"": 3000, ""outer_bags"": 4}",1600.0,6700.0,777.0,214.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,8
1,round2_model_hpo_selection,ps_mean_0007__k_007__extra_trees_small_deep03,5090.0,1000.0,0.5122032764961552,0.716404257186208,4000,0.25,"var_175,var_190,var_214,var_254,var_341,var_379,var_482",7,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep03,5,4000,0,5,0,True,ps_mean_0007__k_007,ps_mean_0007,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",1400.0,6490.0,766.0,234.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,9
1,round2_model_hpo_selection,ps_mean_0005__k_008__ebm_additive_deep02,5075.0,999.0,0.5204013377926422,0.7395684762616443,4000,0.24975,"var_116,var_159,var_175,var_190,var_214,var_254,var_341,var_379",8,single__lightgbm_gain,ebm_additive,ebm_additive_deep02,5,4000,0,5,0,True,ps_mean_0005__k_008,ps_mean_0005,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""interactions"": 0, ""max_bins"": 128, ""max_rounds"": 4000, ""outer_bags"": 6}",1600.0,6675.0,778.0,221.0,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,10
