outer_fold,round_name,prescreen_recipe_id,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,inner_oof_n_predictions,inner_oof_selected_rate,selected_features_text,feature_size,prescreen_name,base_model_family,model_spec_id,inner_fold_count,expected_inner_oof_predictions,missing_inner_oof_predictions,expected_inner_fold_count,missing_inner_fold_count,manifest_checked,feature_recipe_id,pipeline_recipe_id,prescreen_methods,rank_aggregation,model_kind,model_params,feature_penalty,gross_score,inner_oof_tp_at_optimal_k,inner_oof_fp_at_optimal_k,baseline_select_all_capped_features_0_business_score,baseline_select_all_capped_features_1_business_score,baseline_select_all_illegal_full_features_0_business_score,baseline_select_all_illegal_full_features_1_business_score,beats_baseline_select_all_capped_features_0,beats_baseline_select_all_capped_features_1,beats_baseline_select_all_illegal_full_features_0,beats_baseline_select_all_illegal_full_features_1,inner_selection_rank
1,round1_prescreen_feature_screen,ps_mean_0005,4458.0,998.0,0.4838839556362119,0.6845777626996947,4000,0.2495,"var_159,var_175,var_190,var_214,var_254,var_341,var_379",7,single__lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0005__k_007,ps_mean_0005__k_007__extra_trees_small_deep02,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1400.0,5858.0,723.2,274.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,1
1,round1_prescreen_feature_screen,ps_mean_0007,4456.0,995.8,0.4749862966826902,0.6686318647952622,4000,0.24895,"var_175,var_190,var_214,var_254,var_341,var_379",6,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_006,ps_mean_0007__k_006__extra_trees_small_deep02,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1200.0,5656.0,709.0,286.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,2
1,round1_prescreen_feature_screen,ps_mean_0007,4408.0,996.2,0.49057312661498764,0.6987718251294588,4000,0.24905,"var_175,var_190,var_214,var_254,var_341,var_379,var_389,var_482",8,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_008,ps_mean_0007__k_008__extra_trees_small_deep02,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1600.0,6008.0,732.6,263.6,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,3
1,round1_prescreen_feature_screen,ps_mean_0007,4405.0,999.6,0.48164068571377455,0.683675869436356,4000,0.2499,"var_175,var_190,var_214,var_254,var_341,var_379,var_482",7,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_007,ps_mean_0007__k_007__extra_trees_small_deep02,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1400.0,5805.0,720.2,279.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,4
1,round1_prescreen_feature_screen,ps_mean_0005,4396.0,999.2,0.49013938234271837,0.6963417509204561,4000,0.24980000000000002,"var_116,var_159,var_175,var_190,var_214,var_254,var_341,var_379",8,single__lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0005__k_008,ps_mean_0005__k_008__extra_trees_small_deep02,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1600.0,5996.0,732.8,266.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,5
1,round1_prescreen_feature_screen,ps_mean_0005,4379.0,999.6,0.46265226001303805,0.6521724814927502,4000,0.2499,"var_190,var_214,var_254,var_341,var_379",5,single__lightgbm_gain,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0005__k_005,ps_mean_0005__k_005__xgboost_classifier_deep03,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",1000.0,5379.0,691.8,307.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,6
1,round1_prescreen_feature_screen,ps_mean_0018,4323.0,998.0,0.4512090898294706,0.6340719399567841,4000,0.2495,"var_10,var_175,var_254,var_389",4,pair__abs_corr+lightgbm_gain,xgboost_classifier,xgboost_classifier_deep03,5,4000,0,5,0,True,ps_mean_0018__k_004,ps_mean_0018__k_004__xgboost_classifier_deep03,"[""abs_corr"", ""lightgbm_gain""]",mean_rank_score,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",800.0,5123.0,674.2,323.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,7
1,round1_prescreen_feature_screen,ps_mean_0020,4312.0,995.0,0.4595578825461627,0.6506444005491111,4000,0.24874999999999997,"var_175,var_223,var_254,var_328,var_389",5,pair__abs_corr+sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0020__k_005,ps_mean_0020__k_005__extra_trees_small_deep02,"[""abs_corr"", ""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1000.0,5312.0,685.8,309.2,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,8
1,round1_prescreen_feature_screen,ps_mean_0007,4294.0,998.0,0.4588742369807304,0.6480455979233579,4000,0.2495,"var_175,var_190,var_214,var_254,var_341",5,single__sparse_gam_spam,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0007__k_005,ps_mean_0007__k_005__extra_trees_small_deep02,"[""sparse_gam_spam""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1000.0,5294.0,685.6,312.4,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,9
1,round1_prescreen_feature_screen,ps_mean_0005,4266.0,997.8,0.46652948812994166,0.6616897242169154,4000,0.24945,"var_159,var_190,var_214,var_254,var_341,var_379",6,single__lightgbm_gain,extra_trees_small,extra_trees_small_deep02,5,4000,0,5,0,True,ps_mean_0005__k_006,ps_mean_0005__k_006__extra_trees_small_deep02,"[""lightgbm_gain""]",mean_rank_score,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1200.0,5466.0,697.0,300.8,2200.0,2000.0,9865.0,9665.0,1.0,1.0,0.0,0.0,10
