recipe_config_id,prescreen_recipe_id,prescreen_name,feature_size,model_spec_id,base_model_family,model_kind,model_params,outer_fold_count,mean_outer_business_score,median_outer_business_score,min_outer_business_score,max_outer_business_score,std_outer_business_score,mean_outer_optimal_k,median_outer_optimal_k,mean_outer_f1_score,mean_outer_roc_auc_score,mean_inner_oof_business_score,mean_inner_selection_rank,selected_feature_count,example_selected_features_text,outer_config_rank
ps_mean_0007__k_006__extra_trees_small_deep03,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5,5450.0,5525.0,5275.0,5575.0,129.9038105676658,199.0,199.0,0.4452109106780694,0.6958381959277855,4943.75,7.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",1
ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",5,5400.0,5375.0,5350.0,5500.0,63.73774391990981,199.8,200.0,0.4433606163130568,0.6951037868813381,4940.0,8.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",2
ps_mean_0007__k_006__extra_trees_small_deep04,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep04,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",5,5355.0,5350.0,5150.0,5575.0,151.4513123086096,198.6,199.0,0.44144389865041334,0.6945261680390911,4931.25,11.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",3
ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",5,5320.0,5375.0,4975.0,5725.0,309.434968935316,197.0,198.0,0.4400459154890578,0.6938821425181347,4966.25,3.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",4
ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",5,5310.0,5275.0,5050.0,5575.0,257.14781741247583,198.6,199.0,0.4397271793540657,0.6930653221047438,4972.5,2.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",5
ps_mean_0005__k_006__extra_trees_small_deep02,ps_mean_0005,single__lightgbm_gain,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",5,5270.0,5275.0,5050.0,5500.0,159.49137907736582,199.6,200.0,0.43832671069348306,0.6928870523292182,4930.0,12.0,6.0,"var_159,var_190,var_214,var_254,var_341,var_379",6
ps_mean_0005__k_006__extra_trees_small_deep04,ps_mean_0005,single__lightgbm_gain,6,extra_trees_small_deep04,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",5,5255.0,5275.0,4975.0,5575.0,225.2776065213763,199.6,200.0,0.43775683824109823,0.6936934709281208,4923.0,15.0,6.0,"var_159,var_190,var_214,var_254,var_341,var_379",7
ps_mean_0032__k_005__extra_trees_small_deep05,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep05,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 24, ""n_estimators"": 500}",5,5205.0,5100.0,5025.0,5700.0,278.61263431510065,200.0,200.0,0.42832277505313404,0.6783041248157873,4935.0,9.0,5.0,"var_175,var_214,var_254,var_341,var_379",8
ps_mean_0032__k_005__extra_trees_small_deep01,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",5,5160.0,5175.0,4650.0,5775.0,415.55685531585203,199.4,200.0,0.4266011107776677,0.6753784560362959,4905.0,20.0,5.0,"var_175,var_214,var_254,var_341,var_379",9
ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005,single__lightgbm_gain,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5,5145.0,5150.0,4975.0,5275.0,110.96170510586073,197.4,197.0,0.4336127406445141,0.6930102499962258,4932.0,10.0,6.0,"var_159,var_190,var_214,var_254,var_341,var_379",10
ps_mean_0032__k_005__extra_trees_small_deep02,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",5,5135.0,5025.0,4825.0,5850.0,409.49664223287596,199.2,199.0,0.42535850788410795,0.6778280998387627,4985.0,1.0,5.0,"var_175,var_214,var_254,var_341,var_379",11
ps_mean_0032__k_005__extra_trees_small_deep08,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",5,5130.0,4950.0,4900.0,5725.0,351.51458006745605,199.4,199.0,0.4252505964297802,0.6777601153756097,4905.0,19.0,5.0,"var_175,var_214,var_254,var_341,var_379",12
ps_mean_0032__k_005__extra_trees_small_deep06,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep06,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 30, ""n_estimators"": 500}",5,5105.0,5025.0,4800.0,5700.0,346.5905365124674,199.2,200.0,0.4244292341009509,0.6775937126171622,4920.0,16.0,5.0,"var_175,var_214,var_254,var_341,var_379",13
