recipe_config_id,outer_oof_n_predictions,outer_oof_n_folds,outer_oof_business_score,outer_oof_optimal_k,status
ps_mean_0007__k_006__extra_trees_small_deep01,5000,5,5445.0,999,ok
ps_mean_0007__k_006__extra_trees_small_deep03,5000,5,5425.0,997,ok
ps_mean_0007__k_006__extra_trees_small_deep04,5000,5,5410.0,1000,ok
ps_mean_0007__k_006__extra_trees_small_deep02,5000,5,5395.0,1000,ok
ps_mean_0007__k_006__extra_trees_small_deep08,5000,5,5295.0,999,ok
ps_mean_0005__k_006__extra_trees_small_deep02,5000,5,5260.0,1000,ok
ps_mean_0005__k_006__extra_trees_small_deep04,5000,5,5245.0,1000,ok
ps_mean_0032__k_005__extra_trees_small_deep05,5000,5,5220.0,1000,ok
ps_mean_0032__k_005__extra_trees_small_deep03,5000,5,5205.0,1000,ok
ps_mean_0032__k_005__extra_trees_small_deep01,5000,5,5190.0,1000,ok
ps_mean_0005__k_006__extra_trees_small_deep03,5000,5,5185.0,997,ok
ps_mean_0032__k_005__extra_trees_small_deep08,5000,5,5145.0,1000,ok
ps_mean_0032__k_005__extra_trees_small_deep02,5000,5,5115.0,1000,ok
ps_mean_0032__k_005__extra_trees_small_deep06,5000,5,5100.0,1000,ok
ps_mean_0052__k_006__extra_trees_small_deep02,5000,5,5005.0,1000,ok
ps_mean_0052__k_006__extra_trees_small_deep08,5000,5,4980.0,999,ok
ps_mean_0052__k_006__extra_trees_small_deep01,5000,5,4955.0,998,ok
ps_mean_0052__k_006__xgboost_classifier_deep04,5000,5,4840.0,1000,ok
ps_mean_0052__k_006__xgboost_classifier_deep06,5000,5,4735.0,1000,ok
ps_mean_0052__k_006__xgboost_classifier_deep03,5000,5,4705.0,1000,ok
