recipe_config_id,prescreen_recipe_id,prescreen_name,feature_size,model_spec_id,base_model_family,model_kind,model_params,outer_fold_count,mean_outer_business_score,median_outer_business_score,min_outer_business_score,max_outer_business_score,std_outer_business_score,mean_outer_optimal_k,median_outer_optimal_k,mean_outer_f1_score,mean_outer_roc_auc_score,mean_inner_oof_business_score,mean_inner_selection_rank,selected_feature_count,example_selected_features_text,outer_config_rank,stability_note,finalist_rank
ps_mean_0032__k_005__extra_trees_small_deep02,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",5,1608.0,1615.0,1530.0,1710.0,75.04998334443518,799.0,811.0,0.6795838655753038,0.6778280998387627,4985.0,1.0,5.0,"var_175,var_214,var_254,var_341,var_379",1,outer_fold_count >= 5,1
ps_mean_0032__k_005__extra_trees_small_deep05,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep05,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 24, ""n_estimators"": 500}",5,1606.0,1625.0,1515.0,1700.0,72.31873892705818,808.4,795.0,0.6792570689334773,0.6783041248157873,4935.0,9.0,5.0,"var_175,var_214,var_254,var_341,var_379",2,outer_fold_count >= 5,2
ps_mean_0032__k_005__extra_trees_small_deep08,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",5,1605.0,1615.0,1545.0,1700.0,64.32340165134303,854.2,896.0,0.6788343411548066,0.6777601153756097,4905.0,19.0,5.0,"var_175,var_214,var_254,var_341,var_379",3,outer_fold_count >= 5,3
ps_mean_0032__k_005__extra_trees_small_deep03,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5,1604.0,1610.0,1530.0,1685.0,61.17597567673112,786.0,771.0,0.6791544300336304,0.6779689180284274,4950.0,5.0,5.0,"var_175,var_214,var_254,var_341,var_379",4,outer_fold_count >= 5,4
ps_mean_0032__k_005__extra_trees_small_deep06,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep06,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 30, ""n_estimators"": 500}",5,1601.0,1605.0,1530.0,1685.0,56.72301120356709,801.0,843.0,0.678605518502628,0.6775937126171622,4920.0,16.0,5.0,"var_175,var_214,var_254,var_341,var_379",5,outer_fold_count >= 5,5
ps_mean_0032__k_005__extra_trees_small_deep01,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,5,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",5,1593.0,1585.0,1510.0,1670.0,59.644781833786574,805.6,831.0,0.6777866595254395,0.6753784560362959,4905.0,20.0,5.0,"var_175,var_214,var_254,var_341,var_379",6,outer_fold_count >= 5,6
ps_mean_0007__k_006__extra_trees_small_deep03,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5,1474.0,1475.0,1335.0,1565.0,87.77812939451375,812.8,814.0,0.6860901412440353,0.6958381959277855,4943.75,7.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",7,outer_fold_count >= 5,7
ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",5,1472.0,1510.0,1340.0,1560.0,87.57853618324525,800.6,845.0,0.6862938649083292,0.6938821425181347,4966.25,3.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",8,outer_fold_count >= 5,8
ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",5,1472.0,1475.0,1350.0,1560.0,80.51397394241573,797.6,832.0,0.6860256346500682,0.6951037868813381,4940.0,8.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",9,outer_fold_count >= 5,9
ps_mean_0007__k_006__extra_trees_small_deep04,ps_mean_0007,single__sparse_gam_spam,6,extra_trees_small_deep04,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",5,1471.0,1485.0,1335.0,1555.0,87.3498712076898,782.2,776.0,0.6863189755434574,0.6945261680390911,4931.25,11.0,6.0,"var_175,var_214,var_254,var_341,var_379,var_482",10,outer_fold_count >= 5,10
