feature,cv_score_if_dropped,delta,order
var_389,-2497.0,187.0,1
var_308,-2496.0,188.0,2
var_93,-2496.0,188.0,3
var_87,-2492.0,192.0,4
var_254,-2490.0,194.0,5
var_365,-2488.0,196.0,6
var_420,-2487.0,197.0,7
var_463,-2487.0,197.0,8
var_448,-2485.0,199.0,9
var_190,-2483.0,201.0,10
var_393,-2483.0,201.0,11
var_476,-2480.0,204.0,12
var_211,-2478.0,206.0,13
var_386,-2477.0,207.0,14
var_126,-2476.0,208.0,15
var_189,-2475.0,209.0,16
var_220,-2474.0,210.0,17
var_33,-2474.0,210.0,18
var_443,-2473.0,211.0,19
var_16,-2472.0,212.0,20
var_255,-2470.0,214.0,21
var_2,-2467.0,217.0,22
var_320,-2467.0,217.0,23
var_54,-2460.0,224.0,24
var_376,-2459.0,225.0,25
var_392,-2451.0,233.0,26
