model_name,feature_set_name,feature_count,cv_score_mean,cv_score_std,f1_score,roc_auc_score,business_score_no_var_penalty
logistic_regression,top_01,1,2306.0,20.346989949375804,0.6683026776381772,0.5551373495424171,2506.0
lightgbm,top_01,1,2301.0,24.779023386727733,0.6678684906540968,0.547225537670357,2501.0
xgboost,top_01,1,2280.0,11.40175425099138,0.6659573054308005,0.5464283589567229,2480.0
logistic_regression,top_03,3,1905.0,22.135943621178654,0.6682126082299509,0.5773514069390064,2505.0
lightgbm,top_03,3,1891.0,32.155870381627054,0.6669702194841365,0.5509847265988159,2491.0
xgboost,top_03,3,1886.0,21.540659228538015,0.6664956354720049,0.5616538999768862,2486.0
xgboost,top_05,5,1505.0,34.49637662132068,0.6683507016602903,0.5909218102801637,2505.0
logistic_regression,top_05,5,1504.0,38.39270764090493,0.6681315187119814,0.5921821853565417,2504.0
lightgbm,top_05,5,1490.0,23.874672772626646,0.6669076403590491,0.5897405295214446,2490.0
logistic_regression,top_08,8,903.0,30.099833886584822,0.6680408733820933,0.5947318482959458,2503.0
lightgbm,top_08,8,898.0,30.757112998459398,0.6675788089938852,0.5834628037649212,2498.0
xgboost,top_08,8,892.0,29.765752132274432,0.6670630122175093,0.5946711241431248,2492.0
logistic_regression,top_10,10,508.0,39.57271787481876,0.6685839682534899,0.6064080814373437,2508.0
xgboost,top_10,10,506.0,25.96150997149434,0.6683416453523171,0.6336087620650688,2506.0
lightgbm,top_10,10,486.0,17.146428199482248,0.6665384340079348,0.6166658823634833,2486.0
xgboost,top_15,15,-480.0,31.464265445104548,0.6696816616327943,0.6319174854668599,2520.0
lightgbm,top_15,15,-484.0,21.307275752662516,0.6693260627574369,0.6190339485735622,2516.0
logistic_regression,top_15,15,-493.0,28.74021572639983,0.6683764455886863,0.607845727944534,2507.0
xgboost,top_20,20,-1461.0,27.09243436828813,0.6715713380603366,0.6320794601054478,2539.0
lightgbm,top_20,20,-1472.0,48.744230427815765,0.670652135605497,0.6246204192044172,2528.0
logistic_regression,top_20,20,-1498.0,34.72751070837067,0.6679637612149584,0.6079121108140051,2502.0
xgboost,top_26,26,-2664.0,46.195237849804386,0.6711357316026174,0.635275977924133,2536.0
lightgbm,top_26,26,-2684.0,43.977266854592045,0.6694467345130504,0.6270228968134692,2516.0
logistic_regression,top_26,26,-2694.0,37.73592452822641,0.668319147443108,0.6119842187212706,2506.0
